MEF,DISPOSITIF_FORMATION,FORMATION_DIPLOME,DUREE_DISPOSITIF,ANNEE_DISPOSITIF,LIBELLE_COURT,LIBELLE_LONG,DATE_OUVERTURE,DATE_FERMETURE,STATUT_MEF,MEF_INSCRIPTION_SCOLARITE,MEF_STAT_11,MEF_STAT_4,DATE_INTERVENTION,LIBELLE_EDITION,N_COMMENTAIRE,MINISTERE
2402234011,240,50022340,1,1,1CAP1 22340,1CAP1 ORFEVRE OP_A : MONTEUR ORFEVRERIE,1/9/95,,3,O,23110022340,2311,3/30/20,1cap1 orfevre option A : monteur en orfevrerie,GH1 P,MENJ
2402234111,240,50022341,1,1,1CAP1 22341,1CAP1 ORFEVRE OP_B : TOURN.REPOUSSEUR,1/9/95,,3,O,23110022341,2311,3/30/20,1cap1 orfevre option B : tourneur repousseur en orfevrerie,GH1 P,MENJ
2402234211,240,50022342,1,1,1CAP1 22342,1CAP1 ORFEVRE OP_C : POLISSEUR AVIVEUR,1/9/95,,3,O,23110022342,2311,3/30/20,1cap1 orfevre option C : polisseur aviveur en orfevrerie,GH1 P,MENJ
2402234311,240,50022343,1,1,1CAP1 22343,1CAP1 LAPIDAIRE OP_B : PIERRES DE COUL.,1/9/95,,3,O,23110022343,2311,3/30/20,1cap1 lapidaire option B : pierres de couleur,GH1 P,MENJ
2402234911,240,50022349,1,1,1CAP1 22349,1CAP1 BRONZIER OP_A: MONTEUR EN BRONZE,1/9/95,,3,O,23110022349,2311,3/30/20,1cap1 bronzier option A : monteur en bronze,GH1 P,MENJ
2402235011,240,50022350,1,1,1CAP1 22350,1CAP1 BRONZIER OP_B: CISELEUR SUR BRONZ,1/9/95,,3,O,23110022350,2311,3/30/20,1cap1 bronzier option B : ciseleur sur bronze,GH1 P,MENJ
2402235111,240,50022351,1,1,1CAP1 22351,1CAP1 BRONZIER OP_C: TOURNEUR SUR BRONZ,1/9/95,,3,O,23110022351,2311,3/30/20,1cap1 bronzier option C : tourneur sur bronze,GH1 P,MENJ
2402235311,240,50022353,1,1,1CAP1 22353,1CAP1 EMAILLEUR D'ART SUR METAUX,1/9/95,,3,O,23110022353,2311,3/30/20,1cap1 emailleur d'art sur metaux,GH1 P,MENJ
2402235411,240,50022354,1,1,1CAP1 22354,1CAP1 ORFEVRE OP_D : PLANEUR EN ORFEVR.,1/9/95,,3,O,23110022354,2311,3/30/20,1cap1 orfevre option D : planeur en orfevrerie,GH1 P,MENJ
2402236011,240,50022360,1,1,1CAP1 22360,1CAP1  METIERS DE LA FONDERIE,1/9/08,,3,O,23110022360,2311,3/30/20,1cap1 metiers de la fonderie,GH2,MENJ
2402236111,240,50022361,1,1,1CAP1 22361,1CAP1  ART TEC. BIJ. JOAILL.OP.BIJ.JOAIL,1/9/09,,3,O,23110022361,2311,3/30/20,1cap1 art et techniques bijouterie-joaillerie op. bijouterie-joaillerie,GH1,MENJ
2402236211,240,50022362,1,1,1CAP1 22362,1CAP1  ART TEC BIJ.JOAILL.OP.BIJ.SERTIS.,1/9/09,,3,O,23110022362,2311,3/30/20,1cap1 art et techniques bijouterie-joaillerie op. bijouterie-sertissage,GH1,MENJ
2402236311,240,50022363,1,1,1CAP1 22363,1CAP1  ART TEC BIJ.JOAILL.OP.POLIS.FINI.,1/9/09,,3,O,23110022363,2311,4/26/23,1cap1 art et techniques bijouterie-joaillerie option polissage-finition,GH1,MENJ
2402241911,240,50022419,1,1,1CAP1 22419,1CAP1 FABRIC.INDUSTRIEL.DES CERAMIQUES,1/9/95,,3,O,23110022419,2311,3/30/20,1cap1 fabrication industrielle des ceramiques,GH1 P,MENJ
2402242011,240,50022420,1,1,1CAP1 22420,1CAP1 MODELES ET MOULES CERAMIQUES,1/9/95,,3,O,23110022420,2311,3/30/20,1cap1 modeles et moules ceramiques,GH1 P,MENJ
2402242111,240,50022421,1,1,1CAP1 22421,1CAP1 TOURNAGE EN CERAMIQUE,1/9/95,,3,O,23110022421,2311,3/30/20,1cap1 tournage en ceramique,GH1 P,MENJ
2402242211,240,50022422,1,1,1CAP1 22422,1CAP1 DECORATION EN CERAMIQUE,1/9/95,,3,O,23110022422,2311,3/30/20,1cap1 decoration en ceramique,GH1 P,MENJ
2402242511,240,50022425,1,1,1CAP1 22425,1CAP1 ARTS et TECH.VERRE: VITRAILLISTE,1/9/95,,3,O,23110022425,2311,3/30/20,1cap1 arts et techniques du verre option vitrailliste,GH1 P,MENJ
2402242711,240,50022427,1,1,1CAP1 22427,1CAP1 ARTS et TECH.VERRE: DECORATEUR,1/9/95,,3,O,23110022427,2311,3/30/20,1cap1 arts et techniques du verre option decorateur,GH1 P,MENJ
2402242811,240,50022428,1,1,1CAP1 22428,1CAP1  ARTS DU VERRE ET DU CRISTAL,1/9/10,,3,O,23110022428,2311,3/30/20,1cap1 arts du verre et du cristal,GH1,MENJ
2402242911,240,50022429,1,1,1CAP1 22429,1CAP1  SOUFFLEUR VERRE : ENS.LUMINEUSE,1/9/10,,3,O,23110022429,2311,3/30/20,1cap1 souffleur de verre option enseigne lumineuse,GH1,MENJ
2402243011,240,50022430,1,1,1CAP1 22430,1CAP1  SOUFFL.VERRE : VERRERIE SCIENT.,1/9/10,,3,O,23110022430,2311,3/30/20,1cap1 souffleur de verre option verrerie scientifique,GH1,MENJ
2402250511,240,50022505,1,1,1CAP1 22505,1CAP1 MISE EN OEUV.CAOUTCHOUCS et ELASTO,1/9/95,,3,O,23110022505,2311,3/30/20,1cap1 mise en oeuvre des caoutchoucs et des elastomeres thermoplastiques,,MENJ
2402250911,240,50022509,1,1,1CAP1 22509,1CAP1  PLASTURGIE,1/9/00,,3,O,23110022509,2311,3/30/20,1cap1 plasturgie,GH2,MENJ
2402251011,240,50022510,1,1,1CAP1 22510,1CAP1  COMPOSIT.PLASTIQ.CHAUDRONNES,1/9/01,,3,O,23110022510,2311,3/30/20,1cap1 composites- plastiques chaudronnes,GH3,MENJ
2402260911,240,50022609,1,1,1CAP1 22609,1CAP1 SCIERIES OP_B: AFFUTEUR SCIAGE,1/9/92,,3,O,23110022609,2311,3/30/20,1cap1 mecanicien conducteur scieries et industries mecaniques du bois,GH1 P,MENJ
2402271411,240,50022714,1,1,1CAP1 22714,1CAP1  INSTALL. FROID CONDITIONN. D'AIR,1/9/16,,3,O,23110022714,2311,3/30/20,1cap1 installateur en froid et conditionnement d'air,GH1,MENJ
2402271511,240,50022715,1,1,1CAP1 22715,1CAP1  MONTEUR INSTALLATIONS THERMIQUES,1/9/19,,3,O,23110022715,2311,4/26/23,1cap1 monteur en installations thermiques,GH2,MENJ
2402300511,240,50023005,1,1,1CAP1 23005,1CAP1  MONTEUR STRUCTURES MOBILES,1/9/97,,3,O,23110023005,2311,3/30/20,1cap1 monteur de structures mobiles,GH1 P,MENJ
2402300611,240,50023006,1,1,1CAP1 23006,1CAP1  INTERVENT. MAINTENANCE.TECHN.BAT.,1/9/22,,3,O,23110023006,2311,4/26/23,1cap1 intervention en maintenance technique des batiments,,MENJ
2402311811,240,50023118,1,1,1CAP1 23118,1CAP1  CONDUCT ENGINS TVX PUB. CARRIERES,1/9/07,8/31/24,3,O,23110023118,2311,4/8/23,1cap1 conducteur d'engins : travaux publics et carrieres,GH2,MENJ
2402311911,240,50023119,1,1,1CAP1 23119,1CAP1  CONSTR. RESEAUX CANALISATIONS TP,1/9/20,,3,O,23110023119,2311,3/30/20,1cap1 constructeur de reseaux de canalisations de travaux publics,,MENJ
2402312011,240,50023120,1,1,1CAP1 23120,1CAP1  CONSTR. ROUT. ET  AMENAGT URB.,1/9/22,,3,O,23110023120,2311,4/26/23,1cap1 constructeur de routes et  d'amenagements urbains,,MENJ
2402312111,240,50023121,1,1,1CAP1 23121,1CAP1  COND.ENGINS TVX PUBLICSetCARRIERES,1/9/24,,3,O,23110023121,2311,4/26/23,1cap1 conducteur d'engins de travaux publics et carrieres,,MENJ
2402321211,240,50023212,1,1,1CAP1 23212,1CAP1 DEVELPT: CONST.ENTRET.BATIMT -TOM,1/9/96,,3,O,23110023212,2311,4/26/23,1cap1 developpement option : construction entretien batiment TOM,,MENJ
2402322011,240,50023220,1,1,1CAP1 23220,1CAP1  TAILLEUR DE PIERRE,1/9/14,,3,O,23110023220,2311,3/30/20,1cap1 tailleur de pierre,GH2,MENJ
2402322111,240,50023221,1,1,1CAP1 23221,1CAP1  MARBRIER BATIMENT ET DECORATION,1/9/14,,3,O,23110023221,2311,3/30/20,1cap1 marbrier du batiment et de la decoration,GH2,MENJ
2402322211,240,50023222,1,1,1CAP1 23222,1CAP1  CONSTRUCTEUR OUVRAGES BETON ARME,1/9/20,,3,O,23110023222,2311,3/30/20,1cap1 constructeur d'ouvrages en beton arme,,MENJ
2402322311,240,50023223,1,1,1CAP1 23223,1CAP1  COUVREUR,1/9/22,,3,O,23110023223,2311,4/26/23,1cap1 couvreur,,MENJ
2402322411,240,50023224,1,1,1CAP1 23224,1CAP1  MACON,1/9/22,,3,O,23110023224,2311,4/26/23,1cap1 macon,,MENJ
2402330211,240,50023302,1,1,1CAP1 23302,1CAP1 MONTEUR EN ISOL.THERMIQ et ACOUST.,1/9/95,8/31/25,3,O,23110023302,2311,4/5/23,1cap1 monteur en isolation thermique et acoustique,GH1 P,MENJ
2402331111,240,50023311,1,1,1CAP1 23311,1CAP1 STAFFEUR ORNEMANISTE,1/9/95,,3,O,23110023311,2311,3/30/20,1cap1 staffeur ornemaniste,GH1 P,MENJ
2402332111,240,50023321,1,1,1CAP1 23321,1CAP1  ETANCHEUR BATIMENT TRAVAUX PUBLIC,1/9/03,8/31/24,3,O,23110023321,2311,4/8/23,1cap1 etancheur du batiment et des travaux publics,GH2,MENJ
2402332211,240,50023322,1,1,1CAP1 23322,1CAP1  MENUISIER ALUMINIUM-VERRE,1/9/03,8/31/24,3,O,23110023322,2311,4/8/23,1cap1 menuisier aluminium-verre,GH2,MENJ
2402332411,240,50023324,1,1,1CAP1 23324,1CAP1  MONTEUR INSTALLATIONS SANITAIRES,1/9/19,,3,O,23110023324,2311,3/30/20,1cap1 monteur en installations sanitaires,GH2,MENJ
2402332511,240,50023325,1,1,1CAP1 23325,1CAP1  CARRELEUR MOSAISTE,1/9/20,,3,O,23110023325,2311,3/30/20,1cap1 carreleur mosaiste,,MENJ
2402332611,240,50023326,1,1,1CAP1 23326,1CAP1  METIERS PLATRE ET ISOLATION,1/9/20,,3,O,23110023326,2311,3/30/20,1cap1 metiers du platre et de l'isolation,,MENJ
2402332711,240,50023327,1,1,1CAP1 23327,1CAP1  PEINTRE APPLICATEUR REVETEMENTS,1/9/20,,3,O,23110023327,2311,3/30/20,1cap1 peintre applicateur de revetements,,MENJ
2402332811,240,50023328,1,1,1CAP1 23328,1CAP1  ETANCHEUR BATIMENT ET TVX PUBLICS,1/9/24,,3,O,23110023328,2311,4/26/23,1cap1 etancheur du batiment et des travaux publics,,MENJ
2402332911,240,50023329,1,1,1CAP1 23329,1CAP1  MENUISIER ALUMINIUM-VERRE,1/9/24,,3,O,23110023329,2311,4/26/23,1cap1 menuisier aluminium-verre,,MENJ
2402341111,240,50023411,1,1,1CAP1 23411,1CAP1 MENUISIER EN SIEGES,1/9/95,,3,O,23110023411,2311,3/30/20,1cap1 menuisier en sieges,GH1 P,MENJ
2402342011,240,50023420,1,1,1CAP1 23420,1CAP1 CANNAGE ET PAILLAGE AMEUBLEMENT,1/9/95,,3,O,23110023420,2311,3/30/20,1cap1 cannage et paillage en ameublement,GH1 P,MENJ
2402342711,240,50023427,1,1,1CAP1 23427,1CAP1 OUVRIER ARCHETIER,1/9/95,,3,O,23110023427,2311,3/30/20,1cap1 ouvrier archetier,GH1 P,MENJ
2402343011,240,50023430,1,1,1CAP1 23430,1CAP1 ARTS BOIS OP_A: SCULPTEUR ORNEMA.,1/9/95,,3,O,23110023430,2311,3/30/20,1cap1 arts du bois option A : sculpteur ornemaniste,GH1 P,MENJ
2402343111,240,50023431,1,1,1CAP1 23431,1CAP1 ARTS BOIS OP_B: TOURNEUR,1/9/95,,3,O,23110023431,2311,3/30/20,1cap1 arts du bois option B : tourneur,GH1 P,MENJ
2402343211,240,50023432,1,1,1CAP1 23432,1CAP1 ARTS BOIS OP_C: MARQUETEUR,1/9/95,,3,O,23110023432,2311,3/30/20,1cap1 arts du bois option C : marqueteur,GH1 P,MENJ
2402343311,240,50023433,1,1,1CAP1 23433,1CAP1 ENCADREUR,1/9/95,,3,O,23110023433,2311,3/30/20,1cap1 encadreur,GH1 P,MENJ
2402343511,240,50023435,1,1,1CAP1 23435,1CAP1 TONNELLERIE,1/9/95,8/31/24,3,O,23110023435,2311,5/24/23,1cap1 tonnellerie,GH1 P,MENJ
2402343811,240,50023438,1,1,1CAP1 23438,1CAP1  VANNERIE,1/9/02,,3,O,23110023438,2311,3/30/20,1cap1 vannerie,GH1,MENJ
2402344311,240,50023443,1,1,1CAP1 23443,1CAP1  CONDUCTEUR-OPERATEUR DE SCIERIE,1/9/05,,3,O,23110023443,2311,3/30/20,1cap1 conducteur-operateur de scierie,GH2,MENJ
2402344411,240,50023444,1,1,1CAP1 23444,1CAP1  CHARPENTIER DE MARINE,1/9/06,,3,O,23110023444,2311,3/30/20,1cap1 charpentier de marine,GH2,MENJ
2402344511,240,50023445,1,1,1CAP1 23445,1CAP1  EBENISTE,1/9/18,,3,O,23110023445,2311,3/30/20,1cap1 ebeniste,GH1,MENJ
2402344611,240,50023446,1,1,1CAP1 23446,1CAP1  CHARPENTIER BOIS,1/9/21,,3,O,23110023446,2311,4/26/23,1cap1 charpentier bois,,MENJ
2402344711,240,50023447,1,1,1CAP1 23447,1CAP1  MENUISIER FABRICANT,1/9/22,,3,O,23110023447,2311,4/26/23,1cap1 menuisier fabricant,,MENJ
2402344911,240,50023449,1,1,1CAP1 23449,1CAP1  MENUISIER INSTALLATEUR,1/9/22,,3,O,23110023449,2311,4/26/23,1cap1 menuisier installateur,,MENJ
2402345011,240,50023450,1,1,1CAP1 23450,1CAP1  ASSISTANT LUTHIER DU QUATUOR,1/9/22,,3,O,23110023450,2311,4/26/23,1cap1 assistant luthier du quatuor,,MENJ
2402345111,240,50023451,1,1,1CAP1 23451,1CAP1  TONNELIER,1/9/24,,3,O,23110023451,2311,5/24/23,1cap1 tonnelier,,MENJ
2402400711,240,50024007,1,1,1CAP1 24007,1CAP1  MET.ENT.TEXT. OP.A  BLANCHISSERIE,1/9/22,,3,O,23110024007,2311,4/26/23,1cap1 metiers de l'entretien des textiles- option A : blanchisserie,,MENJ
2402400811,240,50024008,1,1,1CAP1 24008,1CAP1  MET.ENT.TEXT. OP.B  PRESSING,1/9/22,,3,O,23110024008,2311,4/26/23,1cap1 metiers de l'entretien des textiles- option B : pressing,,MENJ
2402412511,240,50024125,1,1,1CAP1 24125,1CAP1 RENTRAYEUR OP_A : TAPIS,1/9/95,,3,O,23110024125,2311,3/30/20,1cap1 rentrayeur option A : tapis,GH1 P,MENJ
2402412611,240,50024126,1,1,1CAP1 24126,1CAP1 RENTRAYEUR OP_B : TAPISSERIES,1/9/95,,3,O,23110024126,2311,3/30/20,1cap1 rentrayeur option B : tapisserie,GH1 P,MENJ
2402412711,240,50024127,1,1,1CAP1 24127,1CAP1 ARTS DE LA BRODERIE,1/9/95,,3,O,23110024127,2311,3/30/20,1cap1 arts de la broderie,GH1 P,MENJ
2402413011,240,50024130,1,1,1CAP1 24130,1CAP1  ARTS DE LA DENTELLE OPT. FUSEAUx,1/9/05,,3,O,23110024130,2311,3/30/20,1cap1 arts de la dentelle option fuseaux,GH1,MENJ
2402413111,240,50024131,1,1,1CAP1 24131,1CAP1  ARTS DE LA DENTELLE OPT. AIGUILLE,1/9/05,,3,O,23110024131,2311,3/30/20,1cap1 arts de la dentelle option aiguille,GH1,MENJ
2402423111,240,50024231,1,1,1CAP1 24231,1CAP1 ARTS DU TAPIS ET TAPISS.DE LISSE,1/9/95,,3,O,23110024231,2311,3/30/20,1cap1 arts du tapis et de la tapisserie de lisse,GH1 P,MENJ
2402423811,240,50024238,1,1,1CAP1 24238,1CAP1  TAPISSIER-E AMEUBLEMENT EN SIEGE,1/9/06,,3,O,23110024238,2311,3/30/20,1cap1 tapissier-tapissiere d'ameublement en siege,GH1,MENJ
2402423911,240,50024239,1,1,1CAP1 24239,1CAP1  TAPISSIER-E AMEUBLEMENT EN DECOR,1/9/06,,3,O,23110024239,2311,3/30/20,1cap1 tapissier-tapissiere d'ameublement en decor,GH1,MENJ
2402424011,240,50024240,1,1,1CAP1 24240,1CAP1  METIERS DE LA MODE-VETEMENT FLOU,1/9/12,,3,O,23110024240,2311,3/30/20,1cap1 metiers de la mode - vetement flou,GH1,MENJ
2402424111,240,50024241,1,1,1CAP1 24241,1CAP1  METIERS DE LA MODE- VET. TAILLEUR,1/9/12,,3,O,23110024241,2311,3/30/20,1cap1 metiers de la mode - vetement tailleur,GH1,MENJ
2402424211,240,50024242,1,1,1CAP1 24242,1CAP1  METIERS MODE CHAPELIER-MODISTE,1/9/13,,3,O,23110024242,2311,3/30/20,1cap1 metiers de la mode : chapelier-modiste,GH1,MENJ
2402431311,240,50024313,1,1,1CAP1 24313,1CAP1 CORDONNIER BOTTIER,1/9/95,,3,O,23110024313,2311,3/30/20,1cap1 cordonnier bottier,GH1 P,MENJ
2402431511,240,50024315,1,1,1CAP1 24315,1CAP1  FOURRURE,1/9/99,,3,O,23110024315,2311,3/30/20,1cap1 fourrure,GH1,MENJ
2402431611,240,50024316,1,1,1CAP1 24316,1CAP1  CHAUSSURE,1/9/99,,3,O,23110024316,2311,3/30/20,1cap1 chaussure,GH1,MENJ
2402431811,240,50024318,1,1,1CAP1 24318,1CAP1  SELLERIE GENERALE,1/9/99,,3,O,23110024318,2311,3/30/20,1cap1 sellerie generale,GH1,MENJ
2402431911,240,50024319,1,1,1CAP1 24319,1CAP1  VETEMENT DE PEAU,1/9/99,,3,O,23110024319,2311,3/30/20,1cap1 vetement de peau,GH1,MENJ
2402432011,240,50024320,1,1,1CAP1 24320,1CAP1  CORDONNERIE MULTISERVICE,1/9/06,,3,O,23110024320,2311,3/30/20,1cap1 cordonnerie multiservice,GH1,MENJ
2402432111,240,50024321,1,1,1CAP1 24321,1CAP1  SELLIER HARNACHEUR,1/9/15,,3,O,23110024321,2311,3/30/20,1cap1 sellier harnacheur,GH1,MENJ
2402432211,240,50024322,1,1,1CAP1 24322,1CAP1  MAROQUINERIE,1/9/18,,3,O,23110024322,2311,4/26/23,1cap1 maroquinerie,GH1,MENJ
2402500111,240,50025001,1,1,1CAP1 25001,1CAP1 CERTIF.APTITUDE AU DEVELOPT -TOM,1/9/96,,3,O,23110025001,2311,4/26/23,1cap1 certificat d'aptitude au developpement TOM,,MENJ
2402510811,240,50025108,1,1,1CAP1 25108,1CAP1 INSTRUMTS COUPANTS et DE CHIRURGIE,1/9/95,,3,O,23110025108,2311,3/30/20,1cap1 instruments coupants et de chirurgie,GH1 P,MENJ
2402512311,240,50025123,1,1,1CAP1 25123,1CAP1 DECOLLETAGE : OPERATEUR REGLEUR,1/9/95,,3,O,23110025123,2311,3/30/20,1cap1 decolletage : operateur regleur en decolletage,GH1 P,MENJ
2402512611,240,50025126,1,1,1CAP1 25126,1CAP1 OUTILLAGES A DECOUPER ET EMBOUTIR,1/9/95,,3,O,23110025126,2311,3/30/20,1cap1 outillages en outils a decouper et a emboutir,GH1 P,MENJ
2402513011,240,50025130,1,1,1CAP1 25130,1CAP1 DEVELPT: FABRIC.ENTRET.MECA. -TOM,1/9/96,,3,O,23110025130,2311,4/26/23,1cap1 developpement option fabrication- entretien en mecanique TOM,,MENJ
2402513311,240,50025133,1,1,1CAP1 25133,1CAP1 AGENT VERIF. APPAR. EXTINCTEURS,1/9/97,,3,O,23110025133,2311,3/30/20,1cap1 agent verificateur d'appareils extincteurs,GH1,MENJ
2402513411,240,50025134,1,1,1CAP1 25134,1CAP1  TRANSPORT CABLES-REMONTEES MECA.,1/9/00,8/31/24,3,O,23110025134,2311,4/8/23,1cap1 transport par cables et remontees mecaniques,GH3 P,MENJ
2402513611,240,50025136,1,1,1CAP1 25136,1CAP1  ARMURERIE (FABRICAT. ET REPARAT.),1/9/04,,3,O,23110025136,2311,3/30/20,1cap1 armurerie (fabrication et reparation),GH1,MENJ
2402513711,240,50025137,1,1,1CAP1 25137,1CAP1  HORLOGERIE,1/9/08,,3,O,23110025137,2311,3/30/20,1cap1 horlogerie,GH1,MENJ
2402513811,240,50025138,1,1,1CAP1 25138,1CAP1  TRANSP.CABLESetREMONTEES MECANIQ.,1/9/24,,3,O,23110025138,2311,4/26/23,1cap1 transports par cables et remontees mecaniques,,MENJ
2402521711,240,50025217,1,1,1CAP1 25217,1CAP1  REPAR.ENTR.EMBARCATIONS PLAISANCE,1/9/08,8/31/24,3,O,23110025217,2311,5/24/23,1cap1 reparation entretien des embarcations de plaisance,GH1,MENJ
2402521811,240,50025218,1,1,1CAP1 25218,1CAP1  MAINT.VEHIC.OPTA VOIT.PARTICUL.,1/9/15,,3,O,23110025218,2311,3/30/20,1cap1 maintenance des vehicules option A voitures particulieres,GH1,MENJ
2402521911,240,50025219,1,1,1CAP1 25219,1CAP1  MAINT.VEHIC.OPTB VEHIC.TRANS.ROUT,1/9/15,,3,O,23110025219,2311,3/30/20,1cap1 maintenance des vehicules opt. B vehicules de transport routier,GH1,MENJ
2402522011,240,50025220,1,1,1CAP1 25220,1CAP1  MAINT.VEHIC.OPTC MOTOCYCLES,1/9/15,,3,O,23110025220,2311,3/30/20,1cap1 maintenance des vehicules option C motocycles,GH1,MENJ
2402522111,240,50025221,1,1,1CAP1 25221,1CAP1  MAINT.MATERIELS OPT.A AGRICOLES,1/9/17,,3,O,23110025221,2311,3/30/20,1cap1 maintenance des materiels option A materiels agricoles,GH1,MENJ
2402522211,240,50025222,1,1,1CAP1 25222,1CAP1  MAINT.MATERIELS OPT.B CONS.MANUT.,1/9/17,,3,O,23110025222,2311,3/30/20,1cap1 maint. des materiels option B materiels construction manutention,GH1,MENJ
2402522311,240,50025223,1,1,1CAP1 25223,1CAP1  MAINT.MATERIELS OPT.C ESP. VERTS,1/9/17,,3,O,23110025223,2311,3/30/20,1cap1 maintenance des materiels option C materiels d'espaces verts,GH1,MENJ
2402522411,240,50025224,1,1,1CAP1 25224,1CAP1  MAINTENANCE NAUTIQUE,1/9/24,,3,O,23110025224,2311,5/24/23,1cap1 maintenance nautique,,MENJ
