MEF,MEF_STAT_11,MEF_STAT_4,DISPOSITIF_FORMATION,LIBELLE_LONG,BOP,FORFAIT JOURNALIER,PLAFOND MAX
2402251011,23110022510,2311,240,1CAP1  COMPOSIT.PLASTIQ.CHAUDRONNES,MENJ,15,525
2402260911,23110022609,2311,240,1CAP1 SCIERIES OP_B: AFFUTEUR SCIAGE,MENJ,15,525
2402271411,23110022714,2311,240,1CAP1  INSTALL. FROID CONDITIONN. D'AIR,MENJ,15,525
2402271511,23110022715,2311,240,1CAP1  MONTEUR INSTALLATIONS THERMIQUES,MENJ,15,525
2402300511,23110023005,2311,240,1CAP1  MONTEUR STRUCTURES MOBILES,MENJ,15,525
2402300611,23110023006,2311,240,1CAP1  INTERVENT. MAINTENANCE.TECHN.BAT.,MENJ,15,525
2402311811,23110023118,2311,240,1CAP1  CONDUCT ENGINS TVX PUB. CARRIERES,MENJ,15,525
2402311911,23110023119,2311,240,1CAP1  CONSTR. RESEAUX CANALISATIONS TP,MENJ,15,525
2402312011,23110023120,2311,240,1CAP1  CONSTR. ROUT. ET  AMENAGT URB.,MENJ,15,525
2402312111,23110023121,2311,240,1CAP1  COND.ENGINS TVX PUBLICS&CARRIERES,MENJ,15,525
2402321211,23110023212,2311,240,1CAP1 DEVELPT: CONST.ENTRET.BATIMT -TOM,MENJ,15,525
2402322011,23110023220,2311,240,1CAP1  TAILLEUR DE PIERRE,MENJ,15,525
2402322111,23110023221,2311,240,1CAP1  MARBRIER BATIMENT ET DECORATION,MENJ,15,525
2402322211,23110023222,2311,240,1CAP1  CONSTRUCTEUR OUVRAGES BETON ARME,MENJ,15,525
2402322311,23110023223,2311,240,1CAP1  COUVREUR,MENJ,15,525
2402322411,23110023224,2311,240,1CAP1  MACON,MENJ,15,525
2402330211,23110023302,2311,240,1CAP1 MONTEUR EN ISOL.THERMIQ & ACOUST.,MENJ,15,525
2402331111,23110023311,2311,240,1CAP1 STAFFEUR ORNEMANISTE,MENJ,15,525
2402332111,23110023321,2311,240,1CAP1  ETANCHEUR BATIMENT TRAVAUX PUBLIC,MENJ,15,525
2402332211,23110023322,2311,240,1CAP1  MENUISIER ALUMINIUM-VERRE,MENJ,15,525
2402332411,23110023324,2311,240,1CAP1  MONTEUR INSTALLATIONS SANITAIRES,MENJ,15,525
2402332511,23110023325,2311,240,1CAP1  CARRELEUR MOSAISTE,MENJ,15,525
2402332611,23110023326,2311,240,1CAP1  METIERS PLATRE ET ISOLATION,MENJ,15,525
2402332711,23110023327,2311,240,1CAP1  PEINTRE APPLICATEUR REVETEMENTS,MENJ,15,525
2402332811,23110023328,2311,240,1CAP1  ETANCHEUR BATIMENT ET TVX PUBLICS,MENJ,15,525
2402332911,23110023329,2311,240,1CAP1  MENUISIER ALUMINIUM-VERRE,MENJ,15,525
2402341111,23110023411,2311,240,1CAP1 MENUISIER EN SIEGES,MENJ,15,525
2402342011,23110023420,2311,240,1CAP1 CANNAGE ET PAILLAGE AMEUBLEMENT,MENJ,15,525
2402342711,23110023427,2311,240,1CAP1 OUVRIER ARCHETIER,MENJ,15,525
2402343011,23110023430,2311,240,1CAP1 ARTS BOIS OP_A: SCULPTEUR ORNEMA.,MENJ,15,525
2402343111,23110023431,2311,240,1CAP1 ARTS BOIS OP_B: TOURNEUR,MENJ,15,525
2402343211,23110023432,2311,240,1CAP1 ARTS BOIS OP_C: MARQUETEUR,MENJ,15,525
2402343311,23110023433,2311,240,1CAP1 ENCADREUR,MENJ,15,525
2402343511,23110023435,2311,240,1CAP1 TONNELLERIE,MENJ,15,525
2402343811,23110023438,2311,240,1CAP1  VANNERIE,MENJ,15,525
2402344311,23110023443,2311,240,1CAP1  CONDUCTEUR-OPERATEUR DE SCIERIE,MENJ,15,525
2402344411,23110023444,2311,240,1CAP1  CHARPENTIER DE MARINE,MENJ,15,525
2402344511,23110023445,2311,240,1CAP1  EBENISTE,MENJ,15,525
2402344611,23110023446,2311,240,1CAP1  CHARPENTIER BOIS,MENJ,15,525
2402344711,23110023447,2311,240,1CAP1  MENUISIER FABRICANT,MENJ,15,525
2402344911,23110023449,2311,240,1CAP1  MENUISIER INSTALLATEUR,MENJ,15,525
2402345011,23110023450,2311,240,1CAP1  ASSISTANT LUTHIER DU QUATUOR,MENJ,15,525
2402345111,23110023451,2311,240,1CAP1  TONNELIER,MENJ,15,525
2402400711,23110024007,2311,240,1CAP1  MET.ENT.TEXT. OP.A  BLANCHISSERIE,MENJ,15,525
2402400811,23110024008,2311,240,1CAP1  MET.ENT.TEXT. OP.B  PRESSING,MENJ,15,525
2402412511,23110024125,2311,240,1CAP1 RENTRAYEUR OP_A : TAPIS,MENJ,15,525
2402412611,23110024126,2311,240,1CAP1 RENTRAYEUR OP_B : TAPISSERIES,MENJ,15,525
2402412711,23110024127,2311,240,1CAP1 ARTS DE LA BRODERIE,MENJ,15,525
2402413011,23110024130,2311,240,1CAP1  ARTS DE LA DENTELLE OPT. FUSEAUx,MENJ,15,525
2402413111,23110024131,2311,240,1CAP1  ARTS DE LA DENTELLE OPT. AIGUILLE,MENJ,15,525
2402423111,23110024231,2311,240,1CAP1 ARTS DU TAPIS ET TAPISS.DE LISSE,MENJ,15,525
2402423811,23110024238,2311,240,1CAP1  TAPISSIER-E AMEUBLEMENT EN SIEGE,MENJ,15,525
2402423911,23110024239,2311,240,1CAP1  TAPISSIER-E AMEUBLEMENT EN DECOR,MENJ,15,525
2402424011,23110024240,2311,240,1CAP1  METIERS DE LA MODE-VÊTEMENT FLOU,MENJ,15,525
2402424111,23110024241,2311,240,1CAP1  METIERS DE LA MODE- VÊT. TAILLEUR,MENJ,15,525
2402424211,23110024242,2311,240,1CAP1  METIERS MODE CHAPELIER-MODISTE,MENJ,15,525
2402431311,23110024313,2311,240,1CAP1 CORDONNIER BOTTIER,MENJ,15,525
2402431511,23110024315,2311,240,1CAP1  FOURRURE,MENJ,15,525
2402431611,23110024316,2311,240,1CAP1  CHAUSSURE,MENJ,15,525
2402431811,23110024318,2311,240,1CAP1  SELLERIE GENERALE,MENJ,15,525
2402431911,23110024319,2311,240,1CAP1  VETEMENT DE PEAU,MENJ,15,525
2402432011,23110024320,2311,240,1CAP1  CORDONNERIE MULTISERVICE,MENJ,15,525
2402432111,23110024321,2311,240,1CAP1  SELLIER HARNACHEUR,MENJ,15,525
2402432211,23110024322,2311,240,1CAP1  MAROQUINERIE,MENJ,15,525
2402500111,23110025001,2311,240,1CAP1 CERTIF.APTITUDE AU DEVELOPT -TOM,MENJ,15,525
2402510811,23110025108,2311,240,1CAP1 INSTRUMTS COUPANTS & DE CHIRURGIE,MENJ,15,525
2402512311,23110025123,2311,240,1CAP1 DECOLLETAGE : OPERATEUR REGLEUR,MENJ,15,525
2402512611,23110025126,2311,240,1CAP1 OUTILLAGES A DECOUPER ET EMBOUTIR,MENJ,15,525
2402513011,23110025130,2311,240,1CAP1 DEVELPT: FABRIC.ENTRET.MECA. -TOM,MENJ,15,525
2402513311,23110025133,2311,240,1CAP1 AGENT VERIF. APPAR. EXTINCTEURS,MENJ,15,525
2402513411,23110025134,2311,240,1CAP1  TRANSPORT CABLES-REMONTEES MECA.,MENJ,15,525
2402513611,23110025136,2311,240,1CAP1  ARMURERIE (FABRICAT. ET REPARAT.),MENJ,15,525
2402513711,23110025137,2311,240,1CAP1  HORLOGERIE,MENJ,15,525
2402513811,23110025138,2311,240,1CAP1  TRANSP.CABLES&REMONTEES MECANIQ.,MENJ,15,525
2402521711,23110025217,2311,240,1CAP1  REPAR.ENTR.EMBARCATIONS PLAISANCE,MENJ,15,525
2402521811,23110025218,2311,240,1CAP1  MAINT.VEHIC.OPTA VOIT.PARTICUL.,MENJ,15,525
2402521911,23110025219,2311,240,1CAP1  MAINT.VEHIC.OPTB VEHIC.TRANS.ROUT,MENJ,15,525
2402522011,23110025220,2311,240,1CAP1  MAINT.VEHIC.OPTC MOTOCYCLES,MENJ,15,525
2402522111,23110025221,2311,240,1CAP1  MAINT.MATERIELS OPT.A AGRICOLES,MENJ,15,525
2402522211,23110025222,2311,240,1CAP1  MAINT.MATERIELS OPT.B CONS.MANUT.,MENJ,15,525
2402522311,23110025223,2311,240,1CAP1  MAINT.MATERIELS OPT.C ESP. VERTS,MENJ,15,525
2402522411,23110025224,2311,240,1CAP1  MAINTENANCE NAUTIQUE,MENJ,15,525
2402530511,23110025305,2311,240,1CAP1  AERONAUTIQUE OPTION AVIONIQUE,MENJ,15,525
2402530611,23110025306,2311,240,1CAP1  AERONAUTIQUE OPTION SYSTEMES,MENJ,15,525
2402530711,23110025307,2311,240,1CAP1  AERONAUTIQUE OPTION STRUCTURES,MENJ,15,525
2402542111,23110025421,2311,240,1CAP1 MISE EN FORME DES MATERIAUX,MENJ,15,525
2402542511,23110025425,2311,240,1CAP1 OUTILLAGE EN MOULES METALLIQUE,MENJ,15,525
2402543211,23110025432,2311,240,1CAP1  CONSTRUCTION DES CARROSSERIES,MENJ,15,525
2402543311,23110025433,2311,240,1CAP1  PEINTURE EN CARROSSERIE,MENJ,15,525
2402543411,23110025434,2311,240,1CAP1  REPARATION DES CARROSSERIES,MENJ,15,525
2402543611,23110025436,2311,240,1CAP1  FERRONNIER D'ART,MENJ,15,525
2402543711,23110025437,2311,240,1CAP1  REAL.IND.CHAUD.SOUD. OP.A CHAUDR.,MENJ,15,525
2402543811,23110025438,2311,240,1CAP1  REAL.IND.CHAUD.SOUD. OP.B SOUDAGE,MENJ,15,525
2402543911,23110025439,2311,240,1CAP1  METALLIER,MENJ,15,525
2402544011,23110025440,2311,240,1CAP1  CARROSSIER AUTOMOBILE,MENJ,15,525
2402544111,23110025441,2311,240,1CAP1  PEINTRE AUTOMOBILE,MENJ,15,525
2402552111,23110025521,2311,240,1CAP1  METIERS ENSEIGNE SIGNALETIQUE,MENJ,15,525
2402552411,23110025524,2311,240,1CAP1  ELECTRICIEN,MENJ,15,525
2403110711,23110031107,2311,240,1CAP1 EMBALLEUR PROFESSIONNEL,MENJ,15,525
2403111411,23110031114,2311,240,1CAP1  AGT ACCUEIL CONDTE ROUT.TR.VOYAG.,MENJ,15,525
2403111711,23110031117,2311,240,1CAP1  CONDUCTEUR ROUTIER MARCHANDISES,MENJ,15,525
2403111811,23110031118,2311,240,1CAP1  CONDUCTEUR LIVREUR MARCHANDISES,MENJ,15,525
2403111911,23110031119,2311,240,1CAP1  DEMENAGEUR VEHIC.UTILITAIRE LEGER,MENJ,15,525
2403112111,23110031121,2311,240,1CAP1  TRANSPORT FLUVIAL,MENJ,15,525
2403112211,23110031122,2311,240,1CAP1  OPERATEUR/OPERATRICE LOGISTIQUE,MENJ,15,525
2403112311,23110031123,2311,240,1CAP1  OPER.SERV. RELAT.CLIENT LIVRAISON,MENJ,15,525
2403112411,23110031124,2311,240,1CAP1  COND.AGENT D'ACC. AUTOBUS AUTOCAR,MENJ,15,525
2403122111,23110031221,2311,240,1CAP1  POISSONNIER ECAILLER,MENJ,15,525
2403122211,23110031222,2311,240,1CAP1  PRIMEUR,MENJ,15,525
2403122311,23110031223,2311,240,1CAP1  FLEURISTE,MENJ,15,525
2403122411,23110031224,2311,240,1CAP1  EQUIPIER POLYVALENT DU COMMERCE,MENJ,15,525
2403222011,23110032220,2311,240,1CAP1 METIERS DE LA GRAVURE : ORNEMENT.,MENJ,15,525
2403222111,23110032221,2311,240,1CAP1 METIERS DE LA GRAVURE : IMPRESS.,MENJ,15,525
2403222211,23110032222,2311,240,1CAP1 METIERS DE LA GRAVURE : MODELE,MENJ,15,525
2403222311,23110032223,2311,240,1CAP1 MET.GRAVURE :MARQUAGE POINCONNAGE,MENJ,15,525
2403222511,23110032225,2311,240,1CAP1  SERIGRAPHIE INDUSTRIELLE,MENJ,15,525
2403222711,23110032227,2311,240,1CAP1  SIGNALETIQUE ET DECORS GRAPHIQUES,MENJ,15,525
2403222811,23110032228,2311,240,1CAP1  ARTS DE LA RELIURE,MENJ,15,525
2403230611,23110032306,2311,240,1CAP1 MONTEUR EN CHAPITEAUX,MENJ,15,525
2403230711,23110032307,2311,240,1CAP1 ACCESSOIRISTE REALISATEUR,MENJ,15,525
2403230811,23110032308,2311,240,1CAP1 ACCORDEUR DE PIANOS,MENJ,15,525
2403231011,23110032310,2311,240,1CAP1  ASS.TECH.INSTR.MUSIQ. : ACCORDEON,MENJ,15,525
2403231111,23110032311,2311,240,1CAP1  ASS.TECH.INSTR.MUSIQ.  INSTR.VENT,MENJ,15,525
2403231211,23110032312,2311,240,1CAP1  ASS.TECH.INSTR.MUSIQ. : PIANO,MENJ,15,525
2403231311,23110032313,2311,240,1CAP1  ASS.TECH.INSTR.MUSIQ. : GUITARE,MENJ,15,525
2403300211,23110033002,2311,240,1CAP1  AGENT ACCOMPAGNANT AU GRAND AGE,MENJ,15,525
2403310611,23110033106,2311,240,1CAP1 OPER.APPAR.ORTH.-SP.ORTHOPROTHESE,MENJ,15,525
2403310711,23110033107,2311,240,1CAP1 OPER.APPAR.ORTH.-SP.PODO-ORTHESE,MENJ,15,525
2403320111,23110033201,2311,240,1CAP1 DEVLPT: ACT.FAMIL.ARTIS.TOUR.-TOM,MENJ,15,525
2403320511,23110033205,2311,240,1CAP1  ACCOMPAG. EDUCATIF PETITE ENFANCE,MENJ,15,525
2403341111,23110033411,2311,240,1CAP1  ASS. TECH. MILIEUX FAMIL.COLLECT.,MENJ,15,525
2403341211,23110033412,2311,240,1CAP1  COMMER.SERV.HOTEL-CAFE-RESTAURANT,MENJ,15,525
2403350111,23110033501,2311,240,1CAP1 METIERS DU FOOTBALL,MENJ,15,525
2403361511,23110033615,2311,240,1CAP1  ESTHETIQUE COSMETIQUE PARFUMERIE,MENJ,15,525
2403361611,23110033616,2311,240,1CAP1  METIERS DE LA COIFFURE,MENJ,15,525
2403361711,23110033617,2311,240,1CAP1  TAXIDERMISTE,MENJ,15,525
2403400211,23110034002,2311,240,1CAP1  AGT PREVENTION MEDIATION,MENJ,15,525
2403430111,23110034301,2311,240,1CAP1 AGENT DE LA QUALITE DE L'EAU,MENJ,15,525
2403430311,23110034303,2311,240,1CAP1 ASSAINISMT COLLECT.DECHETS LIQUID,MENJ,15,525
2403430711,23110034307,2311,240,1CAP1  AGENT DE PROPRETE ET D'HYGIENE,MENJ,15,525
2403440411,23110034404,2311,240,1CAP1  GARDIEN D'IMMEUBLE,MENJ,15,525
2403440511,23110034405,2311,240,1CAP1  AGENT DE SECURITE,MENJ,15,525
2412000621,23210020006,2321,241,1CAP2  PRODUCTION,MENJ,10,350
2412010121,23210020101,2321,241,1CAP2  CONDUCT. INSTALLATIONS PRODUCTION,MENJ,10,350
2412010122,23220020101,2322,241,2CAP2  CONDUCT. INSTALLATIONS PRODUCTION,MENJ,15,525
2412100221,23210021002,2321,241,1CAP2 DEVELPT: GEST.PTE EXPL.RURAL -TOM,MENJ,10,350
2412100222,23220021002,2322,241,2CAP2 DEVELPT: GEST.PTE EXPL.RURAL -TOM,MENJ,15,525
2412120321,23210021203,2321,241,1CAP2  CONCHYLICULTURE,MER,10,350
2412120322,23220021203,2322,241,2CAP2  CONCHYLICULTURE,MER,15,525
2412130321,23210021303,2321,241,1CAP2 DEVELPT: GEST. MILIEU MARIN -TOM,MENJ,10,350
2412130322,23220021303,2322,241,2CAP2 DEVELPT: GEST. MILIEU MARIN -TOM,MENJ,15,525
2412130521,23210021305,2321,241,1CAP2 MAREYAGE,MENJ,10,350
2412130522,23220021305,2322,241,2CAP2  MAREYAGE,MENJ,15,525
2412130821,23210021308,2321,241,1CAP2  MARITIME,MER,10,350
2412130822,23220021308,2322,241,2CAP2  MARITIME,MER,15,525
2412200221,23210022002,2321,241,1CAP2 EMPLOYE TECHNIQUE DE LABORATOIRE,MENJ,10,350
2412200222,23220022002,2322,241,2CAP2 EMPLOYE TECHNIQUE DE LABORATOIRE,MENJ,15,525
2412200521,23210022005,2321,241,1CAP2  PROPR.ENVIR.URBAIN-COLLEC.RECYCL,MENJ,10,350
2412200522,23220022005,2322,241,2CAP2  PROPR.ENVIR.URBAIN-COLLEC.RECYCL,MENJ,15,525
2412213021,23210022130,2321,241,1CAP2  CHARCUTIER-TRAITEUR,MENJ,10,350
2412213022,23220022130,2322,241,2CAP2  CHARCUTIER-TRAITEUR,MENJ,15,525
2412213321,23210022133,2321,241,1CAP2  CHOCOLATIER CONFISEUR,MENJ,10,350
2412213322,23220022133,2322,241,2CAP2  CHOCOLATIER CONFISEUR,MENJ,15,525
2412213522,23220022135,2322,241,2CAP2  BOUCHER,MENJ,15,525
2412213721,23210022137,2321,241,1CAP2  BOULANGER,MENJ,10,350
2412213722,23220022137,2322,241,2CAP2  BOULANGER,MENJ,15,525
2412213821,23210022138,2321,241,1CAP2  GLACIER-FABRICANT,MENJ,10,350
2412213822,23220022138,2322,241,2CAP2  GLACIER-FABRICANT,MENJ,15,525
2412213921,23210022139,2321,241,1CAP2  CUISINE,MENJ,10,350
2412213922,23220022139,2322,241,2CAP2  CUISINE,MENJ,15,525
2412214021,23210022140,2321,241,1CAP2  CREMIER-FROMAGER,MENJ,10,350
2412214022,23220022140,2322,241,2CAP2  CREMIER-FROMAGER,MENJ,15,525
2412214121,23210022141,2321,241,1CAP2  PATISSIER,MENJ,10,350
2412214122,23220022141,2322,241,2CAP2  PATISSIER,MENJ,15,525
2412214221,23210022142,2321,241,"1CAP2  PROD.SERV.REST. (RAPID,COLL,CAFE)",MENJ,10,350
2412214222,23220022142,2322,241,"2CAP2  PROD.SERV.REST. (RAPID,COLL,CAFE)",MENJ,15,525
2412214321,23210022143,2321,241,1CAP2  BOUCHER,MENJ,10,350
2412214322,23220022143,2322,241,2CAP2  BOUCHER,MENJ,15,525
2412220121,23210022201,2321,241,1CAP2 INDUSTRIES CHIMIQUES,MENJ,10,350
2412220122,23220022201,2322,241,2CAP2 INDUSTRIES CHIMIQUES,MENJ,15,525
2412232421,23210022324,2321,241,1CAP2 MOULEUR NOYAUTEUR: CUIVRE BRONZE,MENJ,10,350
2412232422,23220022324,2322,241,2CAP2 MOULEUR NOYAUTEUR: CUIVRE BRONZE,MENJ,15,525
2412233221,23210022332,2321,241,1CAP2 DOREUR A LA FEUILLE ORNEMANISTE,MENJ,10,350
2412233222,23220022332,2322,241,2CAP2 DOREUR A LA FEUILLE ORNEMANISTE,MENJ,15,525
2412233921,23210022339,2321,241,1CAP2 LAPIDAIRE OP_A : DIAMANT,MENJ,10,350
2412233922,23220022339,2322,241,2CAP2 LAPIDAIRE OP_A : DIAMANT,MENJ,15,525
2412234021,23210022340,2321,241,1CAP2 ORFEVRE OP_A : MONTEUR ORFEVRERIE,MENJ,10,350
2412234022,23220022340,2322,241,2CAP2 ORFEVRE OP_A : MONTEUR ORFEVRERIE,MENJ,15,525
2412234121,23210022341,2321,241,1CAP2 ORFEVRE OP_B : TOURN.REPOUSSEUR,MENJ,10,350
2412234122,23220022341,2322,241,2CAP2 ORFEVRE OP_B : TOURN.REPOUSSEUR,MENJ,15,525
2412234221,23210022342,2321,241,1CAP2 ORFEVRE OP_C : POLISSEUR AVIVEUR,MENJ,10,350
2412234222,23220022342,2322,241,2CAP2 ORFEVRE OP_C : POLISSEUR AVIVEUR,MENJ,15,525
2412234321,23210022343,2321,241,1CAP2 LAPIDAIRE OP_B : PIERRES DE COUL.,MENJ,10,350
2412234322,23220022343,2322,241,2CAP2 LAPIDAIRE OP_B : PIERRES DE COUL.,MENJ,15,525
2412234921,23210022349,2321,241,1CAP2 BRONZIER OP_A: MONTEUR EN BRONZE,MENJ,10,350
2412234922,23220022349,2322,241,2CAP2 BRONZIER OP_A: MONTEUR EN BRONZE,MENJ,15,525
2412235021,23210022350,2321,241,1CAP2 BRONZIER OP_B: CISELEUR SUR BRONZ,MENJ,10,350
2412235022,23220022350,2322,241,2CAP2 BRONZIER OP_B: CISELEUR SUR BRONZ,MENJ,15,525
2412235121,23210022351,2321,241,1CAP2 BRONZIER OP_C: TOURNEUR SUR BRONZ,MENJ,10,350
2412235122,23220022351,2322,241,2CAP2 BRONZIER OP_C: TOURNEUR SUR BRONZ,MENJ,15,525
2412235321,23210022353,2321,241,1CAP2 EMAILLEUR D'ART SUR METAUX,MENJ,10,350
2412235322,23220022353,2322,241,2CAP2 EMAILLEUR D'ART SUR METAUX,MENJ,15,525
2412235421,23210022354,2321,241,1CAP2 ORFEVRE OP_D : PLANEUR EN ORFEVR.,MENJ,10,350
2412235422,23220022354,2322,241,2CAP2 ORFEVRE OP_D : PLANEUR EN ORFEVR.,MENJ,15,525
2412236021,23210022360,2321,241,1CAP2  METIERS DE LA FONDERIE,MENJ,10,350
2412236022,23220022360,2322,241,2CAP2  METIERS DE LA FONDERIE,MENJ,15,525
2412236121,23210022361,2321,241,1CAP2  ART TEC. BIJ. JOAILL.OP.BIJ.JOAIL,MENJ,10,350
2412236122,23220022361,2322,241,2CAP2  ART TEC. BIJ. JOAILL.OP.BIJ.JOAIL,MENJ,15,525
2412236221,23210022362,2321,241,1CAP2  ART TEC BIJ.JOAILL.OP.BIJ.SERTIS.,MENJ,10,350
2412236222,23220022362,2322,241,2CAP2  ART TEC BIJ.JOAILL.OP.BIJ.SERTIS.,MENJ,15,525
2412236321,23210022363,2321,241,1CAP2  ART TEC BIJ.JOAILL.OP.POLIS.FINI.,MENJ,10,350
2412236322,23220022363,2322,241,2CAP2  ART TEC BIJ.JOAILL.OP.POLIS.FINI.,MENJ,15,525
2412241921,23210022419,2321,241,1CAP2 FABRIC.INDUSTRIEL.DES CERAMIQUES,MENJ,10,350
2412241922,23220022419,2322,241,2CAP2 FABRIC.INDUSTRIEL.DES CERAMIQUES,MENJ,15,525
2412242021,23210022420,2321,241,1CAP2 MODELES ET MOULES CERAMIQUES,MENJ,10,350
2412242022,23220022420,2322,241,2CAP2 MODELES ET MOULES CERAMIQUES,MENJ,15,525
2412242121,23210022421,2321,241,1CAP2 TOURNAGE EN CERAMIQUE,MENJ,10,350
2412242122,23220022421,2322,241,2CAP2 TOURNAGE EN CERAMIQUE,MENJ,15,525
2412242221,23210022422,2321,241,1CAP2 DECORATION EN CERAMIQUE,MENJ,10,350
2412242222,23220022422,2322,241,2CAP2 DECORATION EN CERAMIQUE,MENJ,15,525
2412242521,23210022425,2321,241,1CAP2 ARTS & TECH.VERRE: VITRAILLISTE,MENJ,10,350
2412242522,23220022425,2322,241,2CAP2 ARTS & TECH.VERRE: VITRAILLISTE,MENJ,15,525
2412242721,23210022427,2321,241,1CAP2 ARTS & TECH.VERRE: DECORATEUR,MENJ,10,350
2412242722,23220022427,2322,241,2CAP2 ARTS & TECH.VERRE: DECORATEUR,MENJ,15,525
